District	number_R	percentage_R	number_D	percentage_D	number_L	percentage_L	number_I	percentage_I	total	anglo	black	hispanic	Black+Hispanic	other	%anglo	%black	%hispanic	%Black+Hispanic	%other
119	-0.01	-0.01	30171	100	-0.01	-0.01	-0.01	-0.01	159981	36527	16141	106121	120422	3032	22.8	10.1	66.3	75.3	1.9
120	13269	31.6	28679	68.4	-0.01	-0.01	-0.01	-0.01	175132	41916	48723	81940	127067	6149	23.9	27.8	46.8	72.6	3.5
121	38619	53.2	32420	44.7	1513	2.1	-0.01	-0.01	174867	96370	11956	60454	71060	7437	55.1	6.8	34.6	40.6	4.3
122	58062	62	35577	38	-0.01	-0.01	-0.01	-0.01	175184	104514	7150	52896	59272	11398	59.7	4.1	30.2	33.8	6.5
123	-0.01	-0.01	36631	100	-0.01	-0.01	-0.01	-0.01	175674	41458	8034	124046	130651	3565	23.6	4.6	70.6	74.4	2
124	15151	32.4	31674	67.6	-0.01	-0.01	-0.01	-0.01	174795	34801	15068	121616	134589	5405	19.9	8.6	69.6	77	3.1
125	-0.01	-0.01	32791	81.4	7500	18.6	-0.01	-0.01	174549	35613	9034	126208	133661	5275	20.4	5.2	72.3	76.6	3
126	30351	54.8	24985	45.2	-0.01	-0.01	-0.01	-0.01	169256	73422	26024	51427	76265	19569	43.4	15.4	30.4	45.1	11.6
127	44550	80.3	-0.01	-0.01	10984	19.7	-0.01	-0.01	163983	101012	23258	33676	56023	6948	61.6	14.2	20.5	34.2	4.2
128	38159	100	-0.01	-0.01	-0.01	-0.01	-0.01	-0.01	172221	100218	17127	50363	66718	5285	58.2	9.9	29.2	38.7	3.1
129	36504	56.5	26993	41.8	1075	1.7	-0.01	-0.01	174127	96703	16451	40411	55952	21472	55.5	9.4	23.2	32.1	12.3
130	52073	68.5	22562	29.7	1428	1.9	-0.01	-0.01	175532	113514	14713	35344	49394	12624	64.7	8.4	20.1	28.1	7.2
131	5926	14.2	35878	85.8	-0.01	-0.01	-0.01	-0.01	175227	13429	73672	78148	149834	11964	7.7	42	44.6	85.5	6.8
132	32692	49.1	32789	49.2	1104	1.7	-0.01	-0.01	172973	73688	25141	62674	86307	12978	42.6	14.5	36.2	49.9	7.5
133	41293	58.1	29739	41.9	-0.01	-0.01	-0.01	-0.01	171401	107643	16294	27417	42867	20891	62.8	9.5	16	25	12.2
134	47164	53.2	41496	46.8	-0.01	-0.01	-0.01	-0.01	174421	120047	9141	24639	33366	21008	68.8	5.2	14.1	19.1	12
135	26685	47.7	28430	50.8	866	1.5	-0.01	-0.01	172422	70373	27996	54918	81463	20586	40.8	16.2	31.9	47.2	11.9
136	34031	43.8	41485	53.3	2253	2.9	-0.01	-0.01	164376	109590	9435	30443	39055	15731	66.7	5.7	18.5	23.8	9.6
137	-0.01	-0.01	17565	88.3	2335	11.7	-0.01	-0.01	171079	27373	32381	95367	125566	18140	16	18.9	55.7	73.4	10.6
138	24194	50.1	24122	49.9	20	0	-0.01	-0.01	173059	60222	16758	79784	95056	17781	34.8	9.7	46.1	54.9	10.3
139	-0.01	-0.01	37117	92.8	2884	7.2	-0.01	-0.01	175733	24514	73520	70182	141886	9333	13.9	41.8	39.9	80.7	5.3
140	-0.01	-0.01	19137	100	-0.01	-0.01	-0.01	-0.01	170732	14528	18832	135500	152887	3317	8.5	11	79.4	89.5	1.9
141	-0.01	-0.01	27912	100	-0.01	-0.01	-0.01	-0.01	166498	13997	81624	68609	148485	4016	8.4	49	41.2	89.2	2.4
142	-0.01	-0.01	32014	100	-0.01	-0.01	-0.01	-0.01	159541	25674	68513	63106	130070	3797	16.1	42.9	39.6	81.5	2.4
143	-0.01	-0.01	22470	100	-0.01	-0.01	-0.01	-0.01	167215	21702	21901	122406	142945	2568	13	13.1	73.2	85.5	1.5
144	9088	38.8	14324	61.2	-0.01	-0.01	-0.01	-0.01	161859	33375	6453	121302	126694	1790	20.6	4	74.9	78.3	1.1
145	-0.01	-0.01	24211	90.4	2584	9.6	-0.01	-0.01	164574	26289	11742	122458	132865	5420	16	7.1	74.4	80.7	3.3
146	-0.01	-0.01	35579	92.9	2726	7.1	-0.01	-0.01	174485	28516	77532	54162	129938	16031	16.3	44.4	31	74.5	9.2
147	10512	19.2	44217	80.8	-0.01	-0.01	-0.01	-0.01	175873	36595	67433	63401	129209	10069	20.8	38.3	36	73.5	5.7
148	15213	32.1	32147	67.9	-0.01	-0.01	-0.01	-0.01	170811	42627	12095	113469	124313	3871	25	7.1	66.4	72.8	2.3
149	-0.01	-0.01	27003	88.3	3575	11.7	-0.01	-0.01	170702	30453	44777	62582	105364	34885	17.8	26.2	36.7	61.7	20.4
150	40864	57.8	29837	42.2	-0.01	-0.01	-0.01	-0.01	168735	93732	24251	40195	63418	11585	55.5	14.4	23.8	37.6	6.9
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
