County	Senate_R	Senate_D	Gov_R	Gov_D	LtGov_R	LtGov_D	AG_R	AG_D	area_(mi^2)	pop	Total_Male	Total_Female	Anglo_Total	Anglo_Male	Anglo_Female	Black_Total	Black_Male	Black_Female	Other_Total
Washington	10130	3254	10526	2725	9756	3422	9827	3247	712	35265	17580	17685	22272	10973	11299	6099	3006	3093	925
Webb	13813	35142	16286	32044	12983	33998	11584	34901	924	275040	135130	139910	8663	4776	3887	558	370	188	2176
Wharton	9092	3788	9470	3327	8889	3768	8808	3824	902	41103	20331	20772	18448	8984	9464	5529	2686	2843	576
Wheeler	1679	125	1682	126	1471	265	1625	147	1054	5538	2754	2784	3586	1760	1826	109	48	61	129
Wichita	23617	9948	24787	8594	23051	9740	23263	9524	887	133445	68649	64796	85466	43184	42282	13706	7506	6200	7770
Wilbarger	2638	776	2721	685	2491	847	2563	798	903	12513	6348	6165	7302	3654	3648	992	539	453	423
Willacy	1527	2773	1931	2257	1437	2596	1334	2679	1071	22016	12028	9988	2096	1126	970	352	316	36	201
Williamson	99696	105469	112023	89678	101377	98042	98024	100009	938	514534	248502	266032	303298	143922	159376	31939	15619	16320	43080
Wilson	13021	4563	13700	3796	12835	4431	12565	4627	1328	48676	24268	24408	27926	13931	13995	680	368	312	878
Winkler	1123	321	1150	284	1071	355	1100	318	1505	7908	4026	3882	3182	1633	1549	153	73	80	169
Wise	19010	3913	19621	3182	18651	3932	18522	3933	916	64218	32137	32081	47869	23625	24244	589	394	195	1823
Wood	13944	2620	14360	2313	13684	2852	13814	2677	923	44003	21682	22321	36402	17734	18668	2110	1058	1052	1097
Yoakum	1558	335	1558	303	1362	459	1512	334	930	8823	4461	4362	2957	1465	1492	58	24	34	123
Young	5531	818	5567	724	5279	963	5389	847	571	18807	9420	9387	14465	7083	7382	223	127	96	369
Zapata	820	1389	859	1290	733	1334	672	1373	854	14237	7209	7028	723	375	348	8	7	1	59
Zavala	589	2310	747	2080	604	2118	557	2157	854	12001	5949	6052	628	313	315	31	17	14	29
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
