name, g, bp-rp, mem
598954973502021760, 18.629,  2.643, N
598875087110171264, 18.783,  1.013, N
598957241244262400, 19.799,  1.560, N
598892748015744512, 18.780,  2.576, N
598882508813697280, 18.273,  1.962, N
598941955456146688, 16.174,  1.211, N
598876156557233664, 16.579,  0.923, N
598937243876467968, 18.649,  1.206, N
598976040316766976, 11.796,  0.561, N
598964766026974208, 18.147,  1.156, N
598958654289062656, 15.269,  0.822, N
598873644001134592, 18.725,  1.763, N
598877320493183104, 18.471,  0.830, N
598900753834826880, 18.673,  2.188, Y
598908248552758400, 19.286,  2.293, N
598890553287583104, 18.706,  1.782, N
598894367218590336, 14.736,  0.816, N
598915154860230784, 18.275,  1.831, N
598873953238789248, 19.566,  1.477, N
598890793805810816, 16.349,  0.756, N
598892099475867776, 16.216,  2.204, N
598975318762068096, 16.699,  1.045, N
598918522114702080, 14.498,  0.854, N
598887357831929216, 14.093,  1.110, N
598968270720304384, 17.693,  1.226, N
598915940838618624, 19.554,  0.786, N
598971466175977088, 19.262,  2.193, N
601977599685780096, 18.379,  2.027, N
602000075250173056, 13.483,  1.221, N
601979455111631616, 18.252,  1.467, N
601999589918519296, 19.432,  0.974, N
601983307697901312, 18.302,  2.011, N
601978909651388544, 17.448,  0.792, N
601970732033669632, 19.534,  2.834, N
601970766393406592, 16.113,  0.815, N
601975538101426560, 19.378,  2.661, N
601985128763984384, 17.487,  2.794, N
601946916439296000, 18.524,  1.988, N
601972862337441920, 17.766,  2.235, N
602001174761811712, 14.244,  0.787, N
601981654134703232, 14.444,  1.173, N
601997120312686720, 15.057,  0.791, N
601978321240237440, 16.901,  1.429, N
601978737852699392, 15.271,  2.207, N
602003094611859712, 16.858,  0.773, N
601986876815479296, 19.839,  3.036, N
601983681359532672, 18.100,  0.796, N
601986979894141440, 12.028,  1.042, N
601972308286006400, 17.958,  0.920, N
601982547488194944, 16.813,  1.308, N
601971174414620032, 17.155,  1.158, N
601970452860109440, 19.303,  0.985, N
601995913426389888, 18.720,  2.183, N
601982616209813376, 18.889,  2.289, N
601977329103393024, 15.282,  1.370, N
604694905234749696, 16.461,  0.956, N
604668516955684608, 19.120,  1.023, N
604717720101365248, 19.574,  2.362, N
604821039834430464, 18.951,  2.160, N
604721705830718592, 17.476,  0.848, N
604700368433998208, 19.593,  0.264, N
604701884557255040, 18.523,  1.311, N
604694733436059264, 17.496,  1.763, N
604636321883158912, 19.192,  2.619, N
604662985037782144, 17.885,  1.623, N
604711638428070400, 17.098,  1.296, N
604699788613202048, 14.862,  1.250, N
604671368813882240, 15.130,  0.889, N
604741874997190528, 18.931,  1.768, N
604735862042930432, 17.232,  1.553, N
604681058260835840, 18.717,  0.915, N
604691675419334656, 19.300,  1.274, N
604698173705504512, 15.459,  0.850, N
604630794258547200, 15.666,  1.112, N
604846019364407680, 17.846,  0.764, N
604706965503642112, 18.203,  0.973, N
604642197396065408, 17.901,  1.158, N
604663534793597696, 19.136,  1.204, N
604629862250645376, 18.957,  1.884, N
604743219322400896, 17.955,  2.694, N
604714387206399872, 19.361,  1.943, N
604690850785604736, 18.499,  2.161, N
604820764956509824, 18.981,  1.658, N
604845091651119104, 17.793,  0.495, N
604679997403908096, 17.758,  0.194, N
604633023346578688, 18.937,  2.088, N
604638761422218368, 18.705,  0.862, N
604745173532083072, 18.536,  2.488, N
604697864467861504, 19.521,  1.681, N
604664329363124736, 13.043,  0.892, N
604641407122073216, 19.031,  2.023, N
604745173532083456, 18.856,  0.824, N
604632473590754816, 17.913,  1.217, N
604641578920765952, 19.309,  2.358, N
604842892627818752, 15.269,  0.864, N
604740848500463360, 16.239,  0.823, N
604637356968526848, 18.834,  1.692, N
604687831424216832, 16.855,  1.172, N
604631923834942336, 19.905,  1.440, N
604636699837908224, 19.340,  1.886, N
604836987048431232, 16.470,  0.837, N
604711913305981952, 19.728,  2.156, N
604726206956466688, 17.320,  1.200, N
604704358458287360, 15.564,  0.803, N
604841728692227328, 12.972,  0.814, N
604734625092371200, 18.834,  1.581, N
604845027227107456, 14.593,  1.075, N
604622818504267136, 18.107,  2.470, N
604838254070260608, 19.561,  0.730, N
604729505491359744, 17.729,  2.274, N
604680886462136448, 19.349,  0.753, N
604828083580947072, 18.229,  2.566, N
604717758756287360, 17.194,  1.538, N
604734522013155200, 18.177,  1.519, N
604637730630063616, 19.488,  0.980, N
604824995499739904, 16.148,  1.159, N
604717685741310336, 17.414,  1.410, N
604741329536808192, 14.989,  1.320, N
604820528733751424, 17.643,  0.973, N
604747509994306432, 18.440,  2.031, N
604625498563198720, 18.212,  1.226, N
604640449345006720, 16.796,  1.619, N
604696112120570496, 19.601,  2.827, N
604741810573089664, 16.301,  1.106, N
604702331233908096, 17.301,  3.245, N
604743562919743872, 15.222,  1.072, N
604682776247774720, 17.191,  1.052, N
604719060130838528, 18.174,  1.378, N
604692293895329536, 17.875,  1.909, N
604628801393697536, 19.397,  0.998, N
604718269856844544, 18.516,  2.379, N
604705217451839104, 14.591,  0.900, N
604692431334284928, 19.274,  2.940, N
604718819612666112, 17.167,  2.191, N
604842445951883264, 19.689,  0.793, N
604726108172853760, 15.672,  0.949, N
604682363930904704, 18.540,  2.299, N
604736931490249728, 17.138,  1.233, N
604693432061576192, 16.143,  0.772, N
604708619065925376, 13.685,  1.297, N
604636085658230272, 19.015,  1.246, N
604685215789188992, 16.374,  0.793, N
604720675038550912, 19.468,  0.860, N
604626323197563008, 18.662,  2.117, N
604824308304969472, 16.515,  1.183, N
604703392090841856, 19.124,  2.191, N
604669135430976640, 19.587,  2.513, N
604704702055670144, 18.314,  1.537, N
604668486891462784, 16.811,  1.238, N
604631069136455808, 13.963,  0.925, N
604696730596494976, 19.456,  2.384, N
604712948392872576, 16.648,  2.781, N
604697447856064384, 15.826,  0.870, N
604713326349994496, 15.071,  0.731, N
604698272489669632, 14.559,  1.170, N
604730089606921984, 18.241,  0.879, N
604735758963752064, 18.811,  0.627, N
604680542864754432, 17.191,  1.044, N
604627079111978496, 19.922,  2.549, N
604711127326743936, 19.074,  2.168, N
604690060511621248, 18.750,  2.688, N
604699891692416256, 15.986,  1.043, N
604678897892277760, 18.598,  1.910, N
604667967199858432, 19.174,  0.734, N
604629278135081344, 19.785,  1.824, N
604684945206230656, 19.673,  1.866, N
604741119082941952, 16.546,  1.342, N
604663607808616192, 19.217,  2.613, N
604640238891657984, 18.508,  0.822, N
604826331234216064, 18.655,  2.678, N
604663088116999808, 19.216,  1.592, N
604703155867565312, 18.788,  2.412, N
604679447648084736, 16.368,  1.126, N
604838911193173632, 19.643,  1.608, N
604634122858216064, 15.976,  0.921, N
604726864086926720, 19.634,  0.975, N
604615156282760832, 19.211,  1.285, N
604680753318139392, 18.001,  0.781, N
605002944585124352, 17.354,  0.878, N
604898589764291200, 19.434,  1.125, N
605025514638403840, 17.167,  0.728, N
604979476883977600, 14.791,  1.102, N
604895875344961792, 18.156,  2.665, N
604964083721158656, 14.239,  1.025, Y
604985352399225088, 17.545,  0.989, N
605015004853340032, 16.151,  0.953, N
604921512005266048, 10.202,  1.238, Y
604954256836027392, 18.460,  0.748, N
604907660735224704, 18.324,  2.025, Y
604916426764196224, 15.276,  1.050, Y
604946732053145728, 19.708,  0.953, N
604924088985646464, 18.168,  2.021, Y
604977071702225280, 13.538,  0.744, Y
605033039419946752, 16.517,  1.688, N
604957929031979008, 17.220,  1.065, N
604920962248470656, 19.356,  0.834, N
604891481594176384, 13.896,  0.655, N
604989200689868672, 19.294,  0.690, N
604982874202235264, 12.989,  0.884, N
604988062522772224, 18.682,  2.731, N
604918179110923520, 12.196,  0.341, Y
604966523262612480, 14.518,  0.894, N
604906801747666560, 17.270,  2.348, N
604993869318585216, 19.223,  0.985, N
604957108694124416, 19.479,  2.234, N
604850761008391552, 17.015,  1.500, N
605016860279175424, 14.774,  1.573, N
604915018014971264, 18.229,  2.289, Y
604909760974980608, 15.927,  0.829, N
604922370997732736, 19.527,  2.317, N
604982736763369856, 19.964,  2.293, N
604846912717624576, 17.082,  0.734, N
604998748401152128, 18.918,  1.195, N
605007033393945984, 17.283,  1.191, N
604962911194427520, 15.085,  0.817, N
604893749336863104, 14.569,  0.873, N
604941436357619840, 19.978,  1.831, N
604948862357149184, 13.770,  0.779, Y
605060222268475776, 15.225,  0.785, N
604996618102694400, 19.827,  2.168, Y
604930544320911744, 13.579,  0.756, Y
604911582041106816, 19.213,  0.935, N
604975731672416768, 17.897,  1.375, N
605050086145696768, 14.566,  0.852, N
604994904406432128, 16.572,  0.944, N
605011603239154432, 16.692,  0.988, N
604896566835439872, 14.613,  1.051, Y
604913471826560512, 19.600,  2.420, N
605012359153399168, 19.866,  0.714, N
605065509372969344, 17.581,  1.205, N
604989269409329920, 17.714,  1.803, N
605052113370239872, 14.048,  1.053, N
604997339652656384, 19.679,  0.000, N
604969168962427904, 13.488,  0.824, Y
604900105888450048, 19.597,  1.002, N
605052074715179008, 18.535,  0.028, N
604961678539503232, 11.265,  0.637, N
604914605698086784, 16.089,  1.284, Y
605059943095306752, 18.942,  1.891, N
604910482529472256, 19.345,  2.252, Y
605011671958627456, 18.285,  0.643, N
605006930314731648, 17.633,  1.388, N
604922267919528960, 16.386,  0.991, N
604898353541829504, 19.208,  2.886, N
604956009182493824, 15.959,  0.885, N
604904263416796416, 15.092,  1.008, Y
604994698248027520, 18.620,  2.327, N
604920584292553472, 15.656,  1.339, N
605014485161527808, 12.254,  1.025, N
604956417203483008, 17.379,  1.728, N
604964766620119680, 16.133,  1.319, N
604966450247305600, 18.121,  1.184, N
605011019123613568, 14.638,  0.902, N
604993907974031744, 15.540,  1.076, N
605045580724622592, 18.462,  1.356, N
604998649617849216, 18.793,  1.253, N
605034516888709248, 18.831,  1.587, N
604940405565367552, 19.384,  2.059, N
604917285756844800, 18.401,  1.408, Y
604984489109973376, 18.892,  1.756, N
604905186834118400, 19.492,  0.658, N
604921374566321920, 11.134,  0.819, N
604917320117398144, 13.627,  0.770, N
604948450040103936, 16.937,  0.909, N
604902266256357504, 19.469,  1.840, N
604932124868388224, 18.205,  2.015, Y
604953153030910592, 19.789,  1.185, N
604910242011295872, 18.627,  1.388, N
605064444221067648, 17.189,  1.084, N
605064654674313856, 16.083,  1.547, N
604948965436166144, 17.256,  1.037, N
604956455859076992, 18.505,  2.148, N
605004628212279936, 16.763,  0.831, N
604924329503990784, 17.590,  2.418, N
605016512386993536, 19.157,  1.981, N
605049016698277120, 15.009,  1.292, N
604939168614784768, 19.438,  0.683, N
604922886394972160, 12.659,  0.746, Y
604996244436167552, 17.392,  2.113, N
604983458317812480, 18.647,  2.104, N
605033898413408128, 19.160,  2.482, N
604948072082993536, 17.681,  1.204, N
604892787264194048, 17.656,  1.844, Y
604933945934519552, 17.661,  1.465, N
604900449485824256, 18.849,  2.183, Y
